location,location_type,topic,start_year,percent_no_change,percent_slight_loss,percent_large_loss,percent_slight_increase,percent_large_increase,total_orgs
"Louisville/Jefferson County, KY-IN",cbsa,aggregate,1994,13.22,9.2,23.37,16.28,37.93,522.0
"Memphis, TN-MS-AR",cbsa,aggregate,1994,13.82,7.6,18.66,11.06,48.85,434.0
"Miami-Fort Lauderdale-West Palm Beach, FL",cbsa,aggregate,1994,10.93,9.48,24.73,13.28,41.58,1318.0
"Milwaukee-Waukesha-West Allis, WI",cbsa,aggregate,1994,13.08,9.72,18.87,14.58,43.75,864.0
"Minneapolis-St. Paul-Bloomington, MN-WI",cbsa,aggregate,1994,12.41,7.97,19.31,16.39,43.92,1958.0
"Nashville-Davidson--Murfreesboro--Franklin, TN",cbsa,aggregate,1994,10.21,7.91,19.11,16.31,46.46,607.0
"New Orleans-Metairie, LA",cbsa,aggregate,1994,17.09,7.69,23.29,12.82,39.1,468.0
"New York-Newark-Jersey City, NY-NJ-PA",cbsa,aggregate,1994,13.4,10.32,20.2,15.63,40.45,8866.0
"Oklahoma City, OK",cbsa,aggregate,1994,11.59,9.55,22.15,14.43,42.28,492.0
"Orlando-Kissimmee-Sanford, FL",cbsa,aggregate,1994,13.21,10.98,20.73,11.59,43.5,492.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",cbsa,aggregate,1994,13.51,8.34,19.36,15.03,43.76,3021.0
"Phoenix-Mesa-Scottsdale, AZ",cbsa,aggregate,1994,12.22,8.67,21.78,14.33,43.0,900.0
"Pittsburgh, PA",cbsa,aggregate,1994,14.01,7.24,21.63,15.31,41.81,1313.0
"Portland-Vancouver-Hillsboro, OR-WA",cbsa,aggregate,1994,11.55,7.91,19.46,16.75,44.33,961.0
"Providence-Warwick, RI-MA",cbsa,aggregate,1994,10.31,9.99,20.63,16.5,42.56,921.0
"Raleigh, NC",cbsa,aggregate,1994,15.81,6.9,18.71,14.92,43.65,449.0
"Richmond, VA",cbsa,aggregate,1994,9.82,9.02,25.25,12.42,43.49,499.0
"Riverside-San Bernardino-Ontario, CA",cbsa,aggregate,1994,12.72,11.95,24.42,13.75,37.15,778.0
"Sacramento--Roseville--Arden-Arcade, CA",cbsa,aggregate,1994,13.12,9.72,21.99,13.49,41.68,823.0
"St. Louis, MO-IL",cbsa,aggregate,1994,12.91,9.66,22.2,14.62,40.61,1108.0
"Salt Lake City, UT",cbsa,aggregate,1994,10.09,9.79,21.1,10.09,48.93,327.0
"San Antonio-New Braunfels, TX",cbsa,aggregate,1994,13.66,9.65,21.31,14.75,40.62,549.0
"San Diego-Carlsbad, CA",cbsa,aggregate,1994,11.33,10.68,23.96,14.67,39.37,1077.0
"San Francisco-Oakland-Hayward, CA",cbsa,aggregate,1994,11.06,8.88,23.53,14.44,42.09,3200.0
"San Jose-Sunnyvale-Santa Clara, CA",cbsa,aggregate,1994,10.93,9.79,24.26,12.3,42.71,878.0
"Seattle-Tacoma-Bellevue, WA",cbsa,aggregate,1994,11.78,9.8,21.7,12.43,44.29,1673.0
"Tampa-St. Petersburg-Clearwater, FL",cbsa,aggregate,1994,13.62,9.62,16.67,15.71,44.39,624.0
"Virginia Beach-Norfolk-Newport News, VA-NC",cbsa,aggregate,1994,12.17,8.48,17.83,17.17,44.35,460.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",cbsa,aggregate,1994,11.28,8.86,22.73,13.18,43.95,3982.0
All USA,all_usa-state,aggregate,1994,12.552054975940669,9.345615609870949,21.194284621157497,14.693114763747664,42.214930029283224,67957.0
All USA,all_usa-state,1 Arts,1994,10.19,9.68,24.51,12.71,42.91,13170.0
All USA,all_usa-state,2a Higher Education,1994,13.81,9.95,17.28,21.3,37.65,1296.0
All USA,all_usa-state,2b Other Education,1994,11.52,9.38,21.46,14.44,43.2,17191.0
All USA,all_usa-state,3 Environment and Animals,1994,8.21,7.98,26.4,10.78,46.63,3886.0
All USA,all_usa-state,4a Hospitals,1994,18.1,7.36,8.8,29.05,36.69,2840.0
All USA,all_usa-state,4b Other Health,1994,13.25,8.81,18.91,15.95,43.08,20265.0
All USA,all_usa-state,5 Human Services,1994,16.19,9.58,16.78,17.36,40.08,47062.0
All USA,all_usa-state,6 International and Foreign Affairs,1994,8.22,8.72,29.2,8.93,44.93,1983.0
All USA,all_usa-state,7 Religion Related,1994,11.04,10.19,24.25,12.92,41.61,6215.0
All USA,all_usa-state,8 Other,1994,11.18,9.54,25.97,11.23,42.07,14458.0
AK,state,1 Arts,1994,10.81,6.76,24.32,21.62,36.49,74.0
AK,state,2a Higher Education,1994,0.0,25.0,50.0,25.0,0.0,4.0
AK,state,2b Other Education,1994,11.32,13.21,24.53,13.21,37.74,53.0
AK,state,3 Environment and Animals,1994,11.11,5.56,25.0,5.56,52.78,36.0
AK,state,4a Hospitals,1994,20.0,0.0,0.0,20.0,60.0,5.0
AK,state,4b Other Health,1994,18.06,4.17,18.06,11.11,48.61,72.0
AK,state,5 Human Services,1994,14.49,13.53,14.01,16.43,41.55,207.0
AK,state,6 International and Foreign Affairs,1994,16.67,0.0,16.67,33.33,33.33,6.0
AK,state,7 Religion Related,1994,6.67,20.0,20.0,6.67,46.67,15.0
AK,state,8 Other,1994,11.9,9.52,23.81,4.76,50.0,42.0
AL,state,1 Arts,1994,12.1,10.48,25.0,12.9,39.52,124.0
AL,state,2a Higher Education,1994,23.08,15.38,15.38,15.38,30.77,13.0
AL,state,2b Other Education,1994,11.24,9.55,23.03,11.8,44.38,178.0
AL,state,3 Environment and Animals,1994,13.51,10.81,27.03,8.11,40.54,37.0
AL,state,4a Hospitals,1994,8.33,5.56,5.56,36.11,44.44,36.0
AL,state,4b Other Health,1994,12.2,8.94,14.23,18.7,45.93,246.0
AL,state,5 Human Services,1994,18.46,13.85,13.85,16.92,36.92,520.0
AL,state,6 International and Foreign Affairs,1994,0.0,8.33,33.33,16.67,41.67,12.0
AL,state,7 Religion Related,1994,13.19,14.29,16.48,13.19,42.86,91.0
AL,state,8 Other,1994,16.2,9.5,30.73,10.61,32.96,179.0
AR,state,1 Arts,1994,16.67,11.67,18.33,8.33,45.0,60.0
AR,state,2a Higher Education,1994,18.18,18.18,18.18,9.09,36.36,11.0
AR,state,2b Other Education,1994,10.56,5.63,19.01,17.61,47.18,142.0
AR,state,3 Environment and Animals,1994,0.0,5.88,41.18,0.0,52.94,17.0
AR,state,4a Hospitals,1994,21.21,3.03,9.09,33.33,33.33,33.0
AR,state,4b Other Health,1994,13.85,7.69,19.23,13.08,46.15,130.0
AR,state,5 Human Services,1994,18.6,8.7,17.87,18.12,36.71,414.0
AR,state,6 International and Foreign Affairs,1994,0.0,12.5,37.5,0.0,50.0,8.0
AR,state,7 Religion Related,1994,6.06,7.58,27.27,12.12,46.97,66.0
AR,state,8 Other,1994,15.65,10.43,22.61,15.65,35.65,115.0
AZ,state,1 Arts,1994,10.65,7.1,23.08,13.02,46.15,169.0
AZ,state,2a Higher Education,1994,0.0,33.33,11.11,0.0,55.56,9.0
AZ,state,2b Other Education,1994,11.64,3.7,25.4,18.52,40.74,189.0
AZ,state,3 Environment and Animals,1994,5.0,3.33,13.33,16.67,61.67,60.0
AZ,state,4a Hospitals,1994,13.51,8.11,0.0,24.32,54.05,37.0
AZ,state,4b Other Health,1994,16.35,7.6,20.91,13.69,41.44,263.0
AZ,state,5 Human Services,1994,12.94,10.72,17.01,14.05,45.29,541.0
AZ,state,6 International and Foreign Affairs,1994,4.17,4.17,33.33,20.83,37.5,24.0
AZ,state,7 Religion Related,1994,13.86,8.91,27.72,15.84,33.66,101.0
AZ,state,8 Other,1994,7.19,9.58,22.75,14.97,45.51,167.0
CA,state,1 Arts,1994,9.64,9.88,24.53,11.35,44.6,1639.0
CA,state,2a Higher Education,1994,17.91,7.46,15.67,24.63,34.33,134.0
CA,state,2b Other Education,1994,11.47,10.69,22.84,13.53,41.47,2320.0
CA,state,3 Environment and Animals,1994,6.42,6.86,28.76,13.94,44.03,452.0
CA,state,4a Hospitals,1994,23.91,12.5,14.13,24.46,25.0,184.0
CA,state,4b Other Health,1994,13.18,10.27,23.67,13.81,39.07,2201.0
CA,state,5 Human Services,1994,14.6,9.78,20.99,15.88,38.76,5289.0
CA,state,6 International and Foreign Affairs,1994,9.82,12.98,28.42,9.12,39.65,285.0
CA,state,7 Religion Related,1994,9.33,11.19,26.74,12.56,40.17,804.0
CA,state,8 Other,1994,9.74,9.23,29.3,11.51,40.22,1355.0
CO,state,1 Arts,1994,9.89,10.25,21.2,10.25,48.41,283.0
CO,state,2a Higher Education,1994,0.0,14.29,0.0,42.86,42.86,7.0
CO,state,2b Other Education,1994,10.16,10.48,20.0,15.56,43.81,315.0
CO,state,3 Environment and Animals,1994,8.08,11.11,19.19,8.08,53.54,99.0
CO,state,4a Hospitals,1994,23.33,6.67,6.67,23.33,40.0,30.0
CO,state,4b Other Health,1994,10.12,8.38,19.65,12.14,49.71,346.0
CO,state,5 Human Services,1994,12.96,8.6,17.43,16.31,44.69,895.0
CO,state,6 International and Foreign Affairs,1994,3.85,19.23,30.77,0.0,46.15,26.0
CO,state,7 Religion Related,1994,9.03,12.9,29.68,14.19,34.19,155.0
CO,state,8 Other,1994,10.42,7.72,22.39,11.97,47.49,259.0
CT,state,1 Arts,1994,10.62,11.06,26.99,11.5,39.82,226.0
CT,state,2a Higher Education,1994,15.0,10.0,25.0,20.0,30.0,20.0
CT,state,2b Other Education,1994,15.13,9.5,17.8,16.62,40.95,337.0
CT,state,3 Environment and Animals,1994,12.0,5.33,32.0,6.67,44.0,75.0
CT,state,4a Hospitals,1994,19.57,13.04,26.09,19.57,21.74,46.0
CT,state,4b Other Health,1994,11.48,6.72,19.05,17.37,45.38,357.0
CT,state,5 Human Services,1994,18.08,12.52,14.33,16.55,38.53,719.0
CT,state,6 International and Foreign Affairs,1994,3.33,16.67,6.67,20.0,53.33,30.0
CT,state,7 Religion Related,1994,7.32,9.76,24.39,19.51,39.02,41.0
CT,state,8 Other,1994,14.42,12.02,22.12,12.02,39.42,208.0
DC,state,1 Arts,1994,12.68,9.86,23.47,14.55,39.44,213.0
DC,state,2a Higher Education,1994,18.18,0.0,0.0,9.09,72.73,11.0
DC,state,2b Other Education,1994,9.18,12.08,27.05,15.94,35.75,207.0
DC,state,3 Environment and Animals,1994,7.95,12.5,27.27,7.95,44.32,88.0
DC,state,4a Hospitals,1994,20.0,10.0,40.0,10.0,20.0,10.0
DC,state,4b Other Health,1994,8.67,6.63,20.92,15.31,48.47,196.0
DC,state,5 Human Services,1994,13.02,8.85,22.66,12.24,43.23,384.0
DC,state,6 International and Foreign Affairs,1994,7.11,7.53,29.71,9.62,46.03,239.0
DC,state,7 Religion Related,1994,17.65,14.71,20.59,8.82,38.24,34.0
DC,state,8 Other,1994,7.11,9.7,29.74,9.48,43.97,464.0
DE,state,1 Arts,1994,5.66,11.32,28.3,15.09,39.62,53.0
DE,state,2a Higher Education,1994,0.0,0.0,20.0,40.0,40.0,5.0
DE,state,2b Other Education,1994,10.26,11.54,15.38,14.1,48.72,78.0
DE,state,3 Environment and Animals,1994,10.0,0.0,60.0,0.0,30.0,10.0
DE,state,4a Hospitals,1994,16.67,0.0,16.67,33.33,33.33,6.0
DE,state,4b Other Health,1994,12.9,6.45,22.58,9.68,48.39,62.0
DE,state,5 Human Services,1994,16.06,5.7,16.06,19.17,43.01,193.0
DE,state,6 International and Foreign Affairs,1994,20.0,20.0,20.0,0.0,40.0,5.0
DE,state,7 Religion Related,1994,0.0,7.14,14.29,7.14,71.43,14.0
DE,state,8 Other,1994,6.52,8.7,39.13,10.87,34.78,46.0
FL,state,1 Arts,1994,11.32,10.48,19.5,11.53,47.17,477.0
FL,state,2a Higher Education,1994,2.38,14.29,30.95,19.05,33.33,42.0
FL,state,2b Other Education,1994,9.96,10.51,21.38,14.67,43.48,552.0
FL,state,3 Environment and Animals,1994,7.55,6.92,29.56,13.21,42.77,159.0
FL,state,4a Hospitals,1994,15.53,5.83,11.65,24.27,42.72,103.0
FL,state,4b Other Health,1994,12.47,8.94,19.06,14.71,44.82,850.0
FL,state,5 Human Services,1994,15.17,9.36,18.27,16.22,40.97,1806.0
FL,state,6 International and Foreign Affairs,1994,13.85,7.69,27.69,7.69,43.08,65.0
FL,state,7 Religion Related,1994,10.48,7.94,25.4,11.43,44.76,315.0
FL,state,8 Other,1994,8.14,8.53,27.13,10.85,45.35,516.0
GA,state,1 Arts,1994,10.68,8.97,24.79,13.68,41.88,234.0
GA,state,2a Higher Education,1994,2.78,11.11,8.33,19.44,58.33,36.0
GA,state,2b Other Education,1994,8.75,8.51,20.57,12.53,49.65,423.0
GA,state,3 Environment and Animals,1994,16.22,6.76,13.51,14.86,48.65,74.0
GA,state,4a Hospitals,1994,14.04,1.75,10.53,29.82,43.86,57.0
GA,state,4b Other Health,1994,11.22,9.86,19.05,14.63,45.24,294.0
GA,state,5 Human Services,1994,17.15,8.2,16.9,15.89,41.87,793.0
GA,state,6 International and Foreign Affairs,1994,12.5,12.5,25.0,0.0,50.0,24.0
GA,state,7 Religion Related,1994,8.26,11.01,22.48,14.68,43.58,218.0
GA,state,8 Other,1994,11.93,9.82,27.37,11.58,39.3,285.0
HI,state,1 Arts,1994,13.95,8.14,30.23,11.63,36.05,86.0
HI,state,2a Higher Education,1994,0.0,0.0,66.67,33.33,0.0,3.0
HI,state,2b Other Education,1994,10.13,11.39,21.52,12.66,44.3,79.0
HI,state,3 Environment and Animals,1994,0.0,8.7,39.13,4.35,47.83,23.0
HI,state,4a Hospitals,1994,16.67,5.56,11.11,27.78,38.89,18.0
HI,state,4b Other Health,1994,10.87,9.78,30.43,7.61,41.3,92.0
HI,state,5 Human Services,1994,15.17,9.55,26.97,13.48,34.83,178.0
HI,state,6 International and Foreign Affairs,1994,20.0,0.0,33.33,0.0,46.67,15.0
HI,state,7 Religion Related,1994,8.0,16.0,16.0,20.0,40.0,25.0
HI,state,8 Other,1994,9.43,9.43,39.62,13.21,28.3,53.0
IA,state,1 Arts,1994,15.03,8.5,22.88,11.11,42.48,153.0
IA,state,2a Higher Education,1994,6.9,6.9,17.24,34.48,34.48,29.0
IA,state,2b Other Education,1994,16.96,9.36,21.05,11.11,41.52,171.0
IA,state,3 Environment and Animals,1994,9.8,13.73,25.49,11.76,39.22,51.0
IA,state,4a Hospitals,1994,26.32,5.26,2.63,28.95,36.84,38.0
IA,state,4b Other Health,1994,15.6,8.51,17.02,23.4,35.46,282.0
IA,state,5 Human Services,1994,18.28,9.14,15.33,20.11,37.13,711.0
IA,state,6 International and Foreign Affairs,1994,16.67,0.0,33.33,8.33,41.67,12.0
IA,state,7 Religion Related,1994,4.84,14.52,30.65,17.74,32.26,62.0
IA,state,8 Other,1994,7.81,13.02,28.13,10.94,40.1,192.0
ID,state,1 Arts,1994,10.42,10.42,22.92,0.0,56.25,48.0
ID,state,2a Higher Education,1994,25.0,0.0,0.0,25.0,50.0,4.0
ID,state,2b Other Education,1994,8.51,12.77,21.28,8.51,48.94,47.0
ID,state,3 Environment and Animals,1994,3.03,3.03,27.27,15.15,51.52,33.0
ID,state,4a Hospitals,1994,0.0,0.0,0.0,40.0,60.0,10.0
ID,state,4b Other Health,1994,6.35,4.76,28.57,19.05,41.27,63.0
ID,state,5 Human Services,1994,16.5,14.0,22.0,14.0,33.5,200.0
ID,state,6 International and Foreign Affairs,1994,0.0,0.0,100.0,0.0,0.0,1.0
ID,state,7 Religion Related,1994,5.0,15.0,25.0,10.0,45.0,20.0
ID,state,8 Other,1994,10.87,10.87,23.91,8.7,45.65,46.0
IL,state,1 Arts,1994,7.71,11.46,24.17,13.54,43.13,480.0
IL,state,2a Higher Education,1994,8.16,10.2,16.33,18.37,46.94,49.0
IL,state,2b Other Education,1994,13.02,9.73,19.6,13.73,43.92,699.0
IL,state,3 Environment and Animals,1994,12.1,12.1,27.42,12.1,36.29,124.0
IL,state,4a Hospitals,1994,23.88,5.97,9.7,33.58,26.87,134.0
IL,state,4b Other Health,1994,15.22,6.41,19.22,16.02,43.14,874.0
IL,state,5 Human Services,1994,16.89,10.41,17.18,17.35,38.17,1758.0
IL,state,6 International and Foreign Affairs,1994,5.71,4.29,30.0,14.29,45.71,70.0
IL,state,7 Religion Related,1994,15.89,8.91,16.67,14.34,44.19,258.0
IL,state,8 Other,1994,15.17,10.8,24.42,9.13,40.49,778.0
IN,state,1 Arts,1994,11.46,11.46,24.9,10.67,41.5,253.0
IN,state,2a Higher Education,1994,6.06,12.12,12.12,27.27,42.42,33.0
IN,state,2b Other Education,1994,11.08,11.08,26.53,12.83,38.48,343.0
IN,state,3 Environment and Animals,1994,7.23,8.43,24.1,14.46,45.78,83.0
IN,state,4a Hospitals,1994,20.0,4.0,8.0,26.67,41.33,75.0
IN,state,4b Other Health,1994,11.5,9.39,18.31,15.02,45.77,426.0
IN,state,5 Human Services,1994,15.47,11.25,16.72,16.48,40.08,1280.0
IN,state,6 International and Foreign Affairs,1994,23.81,14.29,42.86,9.52,9.52,21.0
IN,state,7 Religion Related,1994,12.12,12.12,23.64,11.52,40.61,165.0
IN,state,8 Other,1994,12.29,10.81,23.83,8.85,44.23,407.0
KS,state,1 Arts,1994,11.69,10.39,27.27,10.39,40.26,154.0
KS,state,2a Higher Education,1994,14.29,14.29,23.81,19.05,28.57,21.0
KS,state,2b Other Education,1994,13.33,11.11,26.11,13.33,36.11,180.0
KS,state,3 Environment and Animals,1994,17.14,8.57,28.57,20.0,25.71,35.0
KS,state,4a Hospitals,1994,6.52,6.52,4.35,26.09,56.52,46.0
KS,state,4b Other Health,1994,12.83,9.81,14.72,18.11,44.53,265.0
KS,state,5 Human Services,1994,19.24,13.1,14.93,18.57,34.16,603.0
KS,state,6 International and Foreign Affairs,1994,0.0,0.0,22.22,11.11,66.67,9.0
KS,state,7 Religion Related,1994,8.0,14.67,26.67,18.67,32.0,75.0
KS,state,8 Other,1994,11.83,11.83,19.89,13.98,42.47,186.0
KY,state,1 Arts,1994,12.4,10.74,21.49,15.7,39.67,121.0
KY,state,2a Higher Education,1994,23.53,17.65,11.76,11.76,35.29,17.0
KY,state,2b Other Education,1994,8.23,11.26,24.24,15.15,41.13,231.0
KY,state,3 Environment and Animals,1994,10.0,6.67,26.67,13.33,43.33,30.0
KY,state,4a Hospitals,1994,14.0,8.0,2.0,28.0,48.0,50.0
KY,state,4b Other Health,1994,11.76,8.33,18.63,19.12,42.16,204.0
KY,state,5 Human Services,1994,15.7,8.95,17.58,18.52,39.25,637.0
KY,state,6 International and Foreign Affairs,1994,12.5,0.0,12.5,12.5,62.5,8.0
KY,state,7 Religion Related,1994,14.1,12.82,20.51,10.26,42.31,78.0
KY,state,8 Other,1994,16.3,8.7,25.54,11.96,37.5,184.0
LA,state,1 Arts,1994,9.24,9.24,25.21,10.92,45.38,119.0
LA,state,2a Higher Education,1994,15.38,0.0,15.38,23.08,46.15,13.0
LA,state,2b Other Education,1994,11.81,10.42,27.78,13.89,36.11,144.0
LA,state,3 Environment and Animals,1994,11.54,11.54,30.77,7.69,38.46,26.0
LA,state,4a Hospitals,1994,28.57,3.57,3.57,25.0,39.29,28.0
LA,state,4b Other Health,1994,14.29,12.57,17.71,18.29,37.14,175.0
LA,state,5 Human Services,1994,19.02,9.6,17.17,15.49,38.72,594.0
LA,state,6 International and Foreign Affairs,1994,0.0,0.0,28.57,14.29,57.14,7.0
LA,state,7 Religion Related,1994,11.25,11.25,30.0,5.0,42.5,80.0
LA,state,8 Other,1994,17.78,9.63,20.74,8.89,42.96,135.0
MA,state,1 Arts,1994,8.69,10.35,22.18,14.97,43.81,541.0
MA,state,2a Higher Education,1994,13.85,15.38,15.38,18.46,36.92,65.0
MA,state,2b Other Education,1994,14.45,7.99,19.78,13.74,44.04,713.0
MA,state,3 Environment and Animals,1994,7.59,5.06,32.28,8.23,46.84,158.0
MA,state,4a Hospitals,1994,23.48,9.57,16.52,25.22,25.22,115.0
MA,state,4b Other Health,1994,16.05,10.01,16.17,17.2,40.56,779.0
MA,state,5 Human Services,1994,16.57,8.54,14.24,20.65,40.0,1545.0
MA,state,6 International and Foreign Affairs,1994,8.75,3.75,37.5,12.5,37.5,80.0
MA,state,7 Religion Related,1994,14.29,10.39,23.38,14.29,37.66,77.0
MA,state,8 Other,1994,9.62,8.76,27.78,11.32,42.52,468.0
MD,state,1 Arts,1994,8.56,10.36,22.52,16.22,42.34,222.0
MD,state,2a Higher Education,1994,9.09,9.09,13.64,18.18,50.0,22.0
MD,state,2b Other Education,1994,12.2,7.44,23.21,16.37,40.77,336.0
MD,state,3 Environment and Animals,1994,8.42,6.32,29.47,8.42,47.37,95.0
MD,state,4a Hospitals,1994,10.71,3.57,10.71,46.43,28.57,56.0
MD,state,4b Other Health,1994,12.65,7.76,19.59,14.9,45.1,490.0
MD,state,5 Human Services,1994,14.45,9.94,16.3,16.07,43.24,865.0
MD,state,6 International and Foreign Affairs,1994,5.45,1.82,32.73,3.64,56.36,55.0
MD,state,7 Religion Related,1994,16.67,12.82,20.51,10.26,39.74,78.0
MD,state,8 Other,1994,9.51,10.49,24.26,12.13,43.61,305.0
ME,state,1 Arts,1994,6.25,11.46,21.88,10.42,50.0,96.0
ME,state,2a Higher Education,1994,21.43,14.29,14.29,28.57,21.43,14.0
ME,state,2b Other Education,1994,14.63,8.13,21.14,13.82,42.28,123.0
